CMDLINE /Users/sasankh/anaconda3/bin/python sentiment-analysis.py
MEM 0.023438 1556677482.5194
MEM 9.687500 1556677482.6198
MEM 14.921875 1556677482.7239
MEM 19.351562 1556677482.8278
MEM 21.316406 1556677482.9280
MEM 25.984375 1556677483.0326
MEM 31.828125 1556677483.1336
MEM 36.984375 1556677483.2375
MEM 37.824219 1556677483.3387
MEM 40.863281 1556677483.4426
MEM 43.976562 1556677483.5463
MEM 48.585938 1556677483.6494
MEM 51.132812 1556677483.7536
MEM 53.941406 1556677483.8563
MEM 56.656250 1556677483.9584
MEM 58.613281 1556677484.0619
MEM 59.828125 1556677484.1639
MEM 62.070312 1556677484.2689
MEM 64.710938 1556677484.3731
MEM 67.289062 1556677484.4750
MEM 67.773438 1556677484.5783
MEM 68.960938 1556677484.6810
MEM 71.726562 1556677484.7815
MEM 71.730469 1556677484.8817
MEM 71.765625 1556677484.9821
MEM 71.980469 1556677485.0845
MEM 72.542969 1556677485.1862
MEM 75.042969 1556677485.2867
MEM 78.714844 1556677485.3871
MEM 80.472656 1556677485.4891
MEM 80.472656 1556677485.5921
MEM 80.472656 1556677485.6965
MEM 80.472656 1556677485.8012
MEM 80.472656 1556677485.9063
MEM 80.472656 1556677486.0067
MEM 80.472656 1556677486.1094
MEM 84.382812 1556677486.2123
MEM 84.457031 1556677486.3154
MEM 86.753906 1556677486.4206
MEM 86.773438 1556677486.5211
MEM 86.781250 1556677486.6262
MEM 86.796875 1556677486.7290
MEM 86.812500 1556677486.8342
MEM 86.824219 1556677486.9394
MEM 86.824219 1556677487.0446
MEM 86.828125 1556677487.1493
MEM 86.843750 1556677487.2544
MEM 86.843750 1556677487.3568
MEM 86.847656 1556677487.4615
MEM 86.753906 1556677487.5619
